trial_id,pt_test_acc,pt_gaussian_accuracy,pt_deepfool_accuracy,tf_test_acc,tf_gaussian_accuracy,tf_deepfool_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
6569caa8,0.8719785589920847,0.871842533684639,0.5916693443009232,0.8938999772071838,0.25152410941884623,0.16175160122528542,0.3427715830421105,0.007940530776977539,True,,,2,f7d30c4d40dd47dcb4406c4b5d96a814,2021-01-12_11-04-41,1610478281,264.5982115268707,9740,lambda4,140.221.79.14,264.5982115268707,0,2,"1_adam_epsilon=0.90453,batch_size=540,dropout=0.4749,epochs=45,learning_rate=0.037053",0.03705279493378479,0.4748994835768224,540,0.9045323376947552,45
6569caa9,0.8798704716656774,0.8795944961864246,0.5958031505116705,0.8866000175476074,0.1369706028898854,0.09788816066842973,0.41126977908595,0.0089874267578125,True,,,2,5268b05fa29e40598e10005e3332ab99,2021-01-12_11-13-44,1610478824,807.8768088817596,9744,lambda4,140.221.79.14,807.8768088817596,0,2,"2_adam_epsilon=0.54541,batch_size=45,dropout=0.16736,epochs=37,learning_rate=0.024024",0.02402386430340808,0.16736321618126568,45,0.545410188658469,37
6569caaa,0.8757763758301735,0.8750785827444867,0.5935456420010196,0.8838000297546387,0.271316955355857,0.1802312104371601,0.336350801676008,0.007880687713623047,True,,,2,571c105c121f454fab25c0673a5e64ee,2021-01-12_11-04-11,1610478251,235.39918732643127,9746,lambda4,140.221.79.14,235.39918732643127,0,2,"3_adam_epsilon=0.89755,batch_size=253,dropout=0.26999,epochs=29,learning_rate=0.050761",0.05076055047241379,0.2699871594609698,253,0.8975492282353689,29
6569caab,0.8880755585782668,0.8875186439980052,0.5962303584418912,0.8913999795913696,0.18901043344926055,0.12363094884060803,0.389261066378975,0.00782012939453125,True,,,2,4fdcfefc706f48dc94a544064b087f5b,2021-01-12_11-05-42,1610478342,326.37757182121277,9736,lambda4,140.221.79.14,326.37757182121277,0,2,"4_adam_epsilon=0.46272,batch_size=602,dropout=0.20714,epochs=59,learning_rate=0.040511",0.040510747952125635,0.20713586616030827,602,0.4627192431307109,59
6569caac,0.8830936724139798,0.8821990194026728,0.59177030703459,0.8934999704360962,0.26734207300666685,0.1739768005022572,0.34074805163540745,0.00890970230102539,True,,,2,f954a69bf59945e6baa67a9baf7448a3,2021-01-12_11-05-39,1610478339,323.411004781723,9742,lambda4,140.221.79.14,323.411004781723,0,2,"5_adam_epsilon=0.7993,batch_size=332,dropout=0.45051,epochs=50,learning_rate=0.029601",0.029600509869556632,0.45051229798855,332,0.7992997083313532,50
6569caad,0.8846065174965632,0.8846141829142129,0.5990528227778452,0.88919997215271,0.21321865826786796,0.14018514209388055,0.3752232502247209,0.007669210433959961,True,,,2,0b112e60b8af48809dfc91b43614835c,2021-01-12_11-04-19,1610478259,242.60742664337158,9738,lambda4,140.221.79.14,242.60742664337158,0,2,"6_adam_epsilon=0.44119,batch_size=479,dropout=0.30227,epochs=37,learning_rate=0.036376",0.03637624336707051,0.30227244156506855,479,0.44119226008044765,37
6569caae,0.8649553350039891,0.8649019383394384,0.5880112942612943,0.8894000053405762,0.2224473443223443,0.14583142551892556,0.353396597474292,0.0070612430572509766,True,,,2,1f2f44c090894ff795ea52048bb43de8,2021-01-12_11-05-11,1610478311,295.3993034362793,9749,lambda4,140.221.79.14,295.3993034362793,0,2,"7_adam_epsilon=0.45951,batch_size=144,dropout=0.41452,epochs=28,learning_rate=0.011646",0.011645780293345355,0.414516474635039,144,0.45951136378329405,28
6569caaf,0.7117225266084438,0.7109196636452,0.47664315799784507,0.891700029373169,0.26927239916514084,0.1762991930197337,0.1873379088978151,0.007833003997802734,True,,,2,74f495e96a484c1e9e52bb6e26ad93bc,2021-01-12_11-04-51,1610478291,275.06960105895996,9752,lambda4,140.221.79.14,275.06960105895996,0,2,"8_adam_epsilon=0.93912,batch_size=249,dropout=0.12506,epochs=35,learning_rate=0.0093547",0.00935468826351228,0.1250557808915181,249,0.9391240478146375,35
6569cab0,0.8815919477888878,0.8809136872517153,0.5913396545850846,0.8847000002861023,0.18797322944760764,0.12488058007986085,0.3854304932707056,0.009174108505249023,True,,,2,62723552cfb34aebabd7e8e8edabd579,2021-01-12_11-15-17,1610478917,661.5944399833679,9897,lambda4,140.221.79.14,661.5944399833679,0,2,"9_adam_epsilon=0.98113,batch_size=71,dropout=0.50757,epochs=47,learning_rate=0.038316",0.03831647228611167,0.5075710780353663,71,0.9811306675304114,47
f4c6ca02,0.2054210210388357,0.20545790661365784,0.16337157613987557,0.8899000287055969,0.28741438345180775,0.19067425878102817,0.26457938904868794,0.007132053375244141,True,,,2,a8a0baf907e944e2a5eeec2f33f379cb,2021-01-12_11-07-28,1610478448,186.31085324287415,9902,lambda4,140.221.79.14,186.31085324287415,0,2,"10_adam_epsilon=0.75489,batch_size=474,dropout=0.20146,epochs=28,learning_rate=0.010682",0.010681858002817917,0.20146059392035784,474,0.7548941703982257,28
