trial_id,pt_test_acc,pt_gaussian_accuracy,pt_deepfool_accuracy,tf_test_acc,tf_gaussian_accuracy,tf_deepfool_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
e2572cfc,0.11659704893827438,0.11658205342415871,0.06439121307542359,0.18240000307559967,0.011090225563909775,0.007042178094809664,0.0830171203620293,0.009789705276489258,True,,,2,552ffe3330844ff0813adc8e9492b5d6,2021-01-14_17-56-14,1610646974,385.870365858078,149208,thetagpu19,140.221.68.29,385.870365858078,0,2,"1_adam_epsilon=0.52953,batch_size=540,dropout=0.8124,epochs=45,learning_rate=0.074553",0.0745527911837848,0.8123994835768225,540,0.5295323414447551,45
e26533ba,0.07862481558403092,0.07845233988731745,0.04123260894561342,0.009999999776482582,0.009965122072745396,0.009965122072745396,0.038040001389822525,0.010956287384033203,True,,,2,d9ecd26c710c42adb0d55d9b470cd091,2021-01-14_18-07-24,1610647644,1055.2066962718964,149206,thetagpu19,140.221.68.29,1055.2066962718964,0,2,"2_adam_epsilon=0.17041,batch_size=45,dropout=0.50486,epochs=37,learning_rate=0.061524",0.061523860553408076,0.5048632161812657,45,0.1704101924084689,37
e26700fa,0.24043136462569237,0.2402999174738305,0.13691988789242795,0.17509999871253967,0.010148890011590245,0.008745659374949982,0.13527428634850514,0.014253854751586914,True,,,2,a751af1a3c5d4a77900b87f5afe1634c,2021-01-14_17-55-58,1610646958,369.52821111679077,149205,thetagpu19,140.221.68.29,369.52821111679077,0,2,"3_adam_epsilon=0.52255,batch_size=253,dropout=0.60749,epochs=29,learning_rate=0.088261",0.08826054672241379,0.6074871594609699,253,0.5225492319853688,29
e26898b6,0.2505236154093462,0.25053113335246213,0.13438347844387813,0.009999999776482582,0.009833483443933684,0.009833483443933684,0.11085086564500607,0.011266469955444336,True,,,2,82149114c12441f3a02ea7d4c1545843,2021-01-14_17-58-49,1610647129,541.0744233131409,149212,thetagpu19,140.221.68.29,541.0744233131409,0,2,"4_adam_epsilon=0.087719,batch_size=602,dropout=0.54464,epochs=59,learning_rate=0.078011",0.07801074420212564,0.5446358661603083,602,0.08771924688071084,59
e26a3b62,0.24165371108439662,0.24128748243594725,0.13509073514903286,0.19660000503063202,0.010425573260785075,0.008517444467697095,0.13892915857141516,0.009865999221801758,True,,,2,01e1a6ec1f4844fc8f19dd37a1aa2e1d,2021-01-14_17-57-17,1610647037,448.68950939178467,149210,thetagpu19,140.221.68.29,448.68950939178467,0,2,"5_adam_epsilon=0.4243,batch_size=332,dropout=0.78801,epochs=50,learning_rate=0.067101",0.06710050611955663,0.78801229798855,332,0.42429971208135314,50
e26be250,0.25969896784850527,0.259449832071365,0.14254905216730446,0.009999999776482582,0.009997206955155057,0.009997206955155057,0.11528204429566125,0.010436773300170898,True,,,2,9370bbcf2ecf49a5aabce161c1276cbc,2021-01-14_17-56-43,1610647003,414.63309121131897,149075,thetagpu19,140.221.68.29,414.63309121131897,0,2,"6_adam_epsilon=0.066192,batch_size=479,dropout=0.63977,epochs=37,learning_rate=0.073876",0.0738762396170705,0.6397724415650685,479,0.06619226383044755,37
e26da234,0.2241567456296512,0.22403273809523808,0.12530906593406593,0.009999999776482582,0.01004464285714284,0.01004464285714284,0.10059797252495391,0.009688138961791992,True,,,2,49c54dd8fd1a430ca5606a6e5180607a,2021-01-14_17-59-03,1610647143,554.1668560504913,149149,thetagpu19,140.221.68.29,554.1668560504913,0,2,"7_adam_epsilon=0.084511,batch_size=144,dropout=0.75202,epochs=28,learning_rate=0.049146",0.04914577654334535,0.7520164746350391,144,0.08451136753329395,28
e26f5e80,0.17799245711506867,0.1777856265587679,0.09881401779726785,0.2485000044107437,0.011083169450786266,0.007602831589020266,0.12029635115360911,0.008759737014770508,True,,,2,d4af3d13b59f4575a562745cac9ec042,2021-01-14_17-56-01,1610646961,372.72936511039734,149253,thetagpu19,140.221.68.29,372.72936511039734,0,2,"8_adam_epsilon=0.56412,batch_size=249,dropout=0.46256,epochs=35,learning_rate=0.046855",0.046854684513512275,0.4625557808915181,249,0.5641240515646375,35
e271221a,0.2734292278475795,0.27330001101352613,0.14760699128394664,0.009999999776482582,0.009989012086704618,0.009989012086704618,0.12071904234915735,0.009665966033935547,True,,,2,d0bb18c76b6648ebbef742c43dfaa258,2021-01-14_18-11-05,1610647865,902.0122385025024,149086,thetagpu19,140.221.68.29,902.0122385025024,0,2,"9_adam_epsilon=0.60613,batch_size=71,dropout=0.84507,epochs=47,learning_rate=0.075816",0.07581646853611168,0.8450710780353663,71,0.6061306712804114,47
c1b530a6,0.06280332194133238,0.0626852967249225,0.037074098163806475,0.2549999952316284,0.010481813178566073,0.008121945931522162,0.072694411861963,0.011174440383911133,True,,,2,a909e2b1015a4188a6c1609f5d676dfd,2021-01-14_18-00-14,1610647214,248.51475882530212,149176,thetagpu19,140.221.68.29,248.51475882530212,0,2,"10_adam_epsilon=0.37989,batch_size=474,dropout=0.53896,epochs=28,learning_rate=0.048182",0.048181854252817916,0.5389605939203579,474,0.3798941741482257,28
c38d8022,0.05748247420963119,0.05755751357704825,0.03321484327300833,0.2522999942302704,0.010172510885855912,0.008188396083479484,0.06981928870988226,0.010160446166992188,True,,,2,42680e616d674e378452dc23be8cd1f6,2021-01-14_18-02-45,1610647365,386.48947310447693,149220,thetagpu19,140.221.68.29,386.48947310447693,0,2,"11_adam_epsilon=0.40799,batch_size=603,dropout=0.69428,epochs=46,learning_rate=0.039902",0.039901595164387,0.694279157601001,603,0.4079939540484923,46
cb4e1506,0.2729233177868943,0.2729641584615462,0.1522880061836547,0.009999999776482582,0.009893153937475281,0.009893153937475281,0.1213269650139214,0.013017654418945312,True,,,2,7775cef940684ed9b5feafac73059dd8,2021-01-14_18-06-15,1610647575,567.0460035800934,149150,thetagpu19,140.221.68.29,567.0460035800934,0,2,"12_adam_epsilon=0.29669,batch_size=266,dropout=0.66479,epochs=45,learning_rate=0.099706",0.0997062230092457,0.6647908103091756,266,0.2966859459633987,45
dc86089c,0.23475933318235437,0.23463862766914084,0.12538348317028722,0.17649999260902405,0.0100059441252229,0.0073539497950038816,0.13144022175850553,0.009990215301513672,True,,,2,cb3518902e964bc39277ecac860c91bd,2021-01-14_18-07-55,1610647675,633.3068251609802,149255,thetagpu19,140.221.68.29,633.3068251609802,0,2,"13_adam_epsilon=0.48647,batch_size=206,dropout=0.71705,epochs=63,learning_rate=0.058625",0.05862548006488315,0.7170481812706992,206,0.48646593140153394,63
