trial_id,pt_test_acc,pt_gaussian_accuracy,pt_deepfool_accuracy,tf_test_acc,tf_gaussian_accuracy,tf_deepfool_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
02372f60,0.02870632183145393,0.028638148135755784,0.018586258239368273,0.21379999816417694,0.009986225895316806,0.0071208496447730885,0.05113963365180747,0.018461227416992188,True,,,2,6f57048a3dac4cf7b3f3dd4a75d6d8b6,2021-01-12_03-46-12,1610423172,727.487208366394,107328,thetagpu08,140.221.68.18,727.487208366394,0,2,"1_adam_epsilon=0.90453,batch_size=912,dropout=0.8124,epochs=79,learning_rate=0.074553",0.0745527911837848,0.8123994835768225,912,0.9045323376947552,79
0249a73a,0.21460239899655184,0.21467911245575666,0.1159139643335172,0.23000000417232513,0.024027026263134688,0.012141687815818447,0.13522736567285065,0.010843038558959961,True,,,2,2499a2e6c1fe44569d977c65a320ca04,2021-01-12_03-43-52,1610423032,587.5849404335022,107198,thetagpu08,140.221.68.18,587.5849404335022,0,2,"2_adam_epsilon=0.54541,batch_size=417,dropout=0.50486,epochs=71,learning_rate=0.061524",0.061523860553408076,0.5048632161812657,417,0.545410188658469,71
024dc87e,0.1285999990068376,0.12850769230769232,0.07204615384615384,0.2533999979496002,0.010392307692307687,0.006969230769230762,0.09998589692863707,0.01221919059753418,True,,,2,884080b17a4549d3b6473aa064ce14fc,2021-01-12_03-43-14,1610422994,550.3572249412537,107325,thetagpu08,140.221.68.18,550.3572249412537,0,2,"3_adam_epsilon=0.89755,batch_size=625,dropout=0.60749,epochs=63,learning_rate=0.088261",0.08826054672241379,0.6074871594609699,625,0.8975492282353689,63
02656baa,0.2018904076381163,0.20181679006509204,0.10818610389768185,0.2281000018119812,0.016288150327006753,0.009364620531892697,0.12760767904529513,0.009378194808959961,True,,,2,6852689d549a4dbbabac51a386ff293d,2021-01-12_03-48-00,1610423280,835.7530562877655,107331,thetagpu08,140.221.68.18,835.7530562877655,0,2,"4_adam_epsilon=0.46272,batch_size=974,dropout=0.54464,epochs=93,learning_rate=0.078011",0.07801074420212564,0.5446358661603083,974,0.4627192431307109,93
026772f6,0.08062920918067297,0.08069476819476819,0.04368444055944055,0.19419999420642853,0.009469696969696965,0.008923368298368298,0.06960024623489591,0.01147007942199707,True,,,2,ed2d69d2f4d1439590bad8567c7f7b40,2021-01-12_03-47-36,1610423256,811.3785846233368,107329,thetagpu08,140.221.68.18,811.3785846233368,0,2,"5_adam_epsilon=0.7993,batch_size=704,dropout=0.78801,epochs=84,learning_rate=0.067101",0.06710050611955663,0.78801229798855,704,0.7992997083313532,84
026963e0,0.19654437030355135,0.19634855779987437,0.10513597822232236,0.22110000252723694,0.0152189025428462,0.009155924495789761,0.12391728931527016,0.010763406753540039,True,,,2,35b70896301f4ae5997de7fe2054ffee,2021-01-12_03-44-47,1610423087,642.8069469928741,107357,thetagpu08,140.221.68.18,642.8069469928741,0,2,"6_adam_epsilon=0.44119,batch_size=851,dropout=0.63977,epochs=71,learning_rate=0.073876",0.0738762396170705,0.6397724415650685,851,0.44119226008044765,71
026b47d2,0.15344091057777404,0.1533718496343081,0.08282480255071618,0.2078000009059906,0.0111443235612671,0.007500030423618459,0.10268031960894575,0.012076377868652344,True,,,2,f569e7a61127403f9b0399101c1dca02,2021-01-12_03-43-37,1610423017,572.3701696395874,107317,thetagpu08,140.221.68.18,572.3701696395874,0,2,"7_adam_epsilon=0.45951,batch_size=516,dropout=0.75202,epochs=62,learning_rate=0.049146",0.04914577654334535,0.7520164746350391,516,0.45951136378329405,62
02793e1e,0.03411095731836908,0.03422537725606781,0.02190512492622468,0.3061000108718872,0.023795390043791578,0.013130187043230527,0.07221117457659515,0.009211063385009766,True,,,2,4a902a8db3294391899c4c8231eac0c5,2021-01-12_03-44-48,1610423088,644.1937968730927,107362,thetagpu08,140.221.68.18,644.1937968730927,0,2,"8_adam_epsilon=0.93912,batch_size=621,dropout=0.46256,epochs=69,learning_rate=0.046855",0.046854684513512275,0.4625557808915181,621,0.9391240478146375,69
027b995c,0.12801052079252576,0.12795574305825827,0.06668493040588004,0.18219999969005585,0.010252681021605061,0.0072093222468453495,0.08705219953586173,0.008370637893676758,True,,,2,7a11825766fc44c9ac899658aa055630,2021-01-12_03-56-39,1610423799,799.2080206871033,107297,thetagpu08,140.221.68.18,799.2080206871033,0,2,"9_adam_epsilon=0.98113,batch_size=443,dropout=0.84507,epochs=81,learning_rate=0.075816",0.07581646853611168,0.8450710780353663,443,0.9811306675304114,81
4d17113e,0.011949775430063406,0.01194977551590464,0.0094841058342806,0.26109999418258667,0.011108189437639424,0.007508700822208697,0.05218342353711391,0.010144472122192383,True,,,2,8d0517b1118d4aa3af25a84e878bcc02,2021-01-12_03-56-36,1610423796,775.2873702049255,107272,thetagpu08,140.221.68.18,775.2873702049255,0,2,"10_adam_epsilon=0.75489,batch_size=846,dropout=0.53896,epochs=62,learning_rate=0.048182",0.048181854252817916,0.5389605939203579,846,0.7548941703982257,62
2cd8f84a,0.016309627501124687,0.0163167374889863,0.011028066829502222,0.17430000007152557,0.01000072495287806,0.01000072495287806,0.039659313632815815,0.012291908264160156,True,,,2,6b42b17b025249cfb606b35f8cf25ba9,2021-01-12_04-09-57,1610424597,793.1864519119263,107232,thetagpu08,140.221.68.18,793.1864519119263,0,2,"1_adam_epsilon=0.90453,batch_size=912,dropout=0.8124,epochs=79,learning_rate=0.037053",0.03705279493378479,0.8123994835768225,912,0.9045323376947552,79
2cdf7e18,0.07090000451231997,0.07080792014874088,0.03824790459150453,0.27570000290870667,0.020691383699510197,0.011687903767638516,0.0813391866047368,0.010939836502075195,True,,,2,d2ffcdc1275e41c5a45ac48285d72d06,2021-01-12_04-06-32,1610424392,588.4633684158325,107274,thetagpu08,140.221.68.18,588.4633684158325,0,2,"2_adam_epsilon=0.54541,batch_size=417,dropout=0.50486,epochs=71,learning_rate=0.024024",0.02402386430340808,0.5048632161812657,417,0.545410188658469,71
2ce1af3a,0.024200000159908086,0.02415384615384615,0.015715384615384603,0.25870001316070557,0.011607692307692305,0.007499999999999986,0.05697948939958945,0.011356353759765625,True,,,2,ead653b716be4245b85692a8a9909e31,2021-01-12_04-06-02,1610424362,558.2598495483398,107263,thetagpu08,140.221.68.18,558.2598495483398,0,2,"3_adam_epsilon=0.89755,batch_size=625,dropout=0.60749,epochs=63,learning_rate=0.050761",0.05076055047241379,0.6074871594609699,625,0.8975492282353689,63
2ce38e54,0.09367685765028,0.09369121638115475,0.051037297878239275,0.26579999923706055,0.022165103889949876,0.011513056521743918,0.08964725525973806,0.010942697525024414,True,,,2,5428c97f3ce34ea284a6017e982489f2,2021-01-12_04-10-43,1610424643,838.7801048755646,107309,thetagpu08,140.221.68.18,838.7801048755646,0,2,"4_adam_epsilon=0.46272,batch_size=974,dropout=0.54464,epochs=93,learning_rate=0.040511",0.040510747952125635,0.5446358661603083,974,0.4627192431307109,93
2ce56846,0.010206229084481796,0.01020622895622895,0.008649799274799268,0.17890000343322754,0.009469696969696965,0.00944784382284382,0.03781330025687972,0.009480714797973633,True,,,2,84df766ce80247ca98b4ed1b12146fa6,2021-01-12_04-11-04,1610424664,860.258495092392,107287,thetagpu08,140.221.68.18,860.258495092392,0,2,"5_adam_epsilon=0.7993,batch_size=704,dropout=0.78801,epochs=84,learning_rate=0.029601",0.029600509869556632,0.78801229798855,704,0.7992997083313532,84
2ce832f6,0.045267864440878235,0.04522766678308624,0.02619750797950431,0.25870001316070557,0.010280182203023597,0.007184842763532299,0.06547634622178837,0.016475677490234375,True,,,2,4253631ed7e44064b385a3a059f2a406,2021-01-12_04-07-37,1610424457,652.3434927463531,107353,thetagpu08,140.221.68.18,652.3434927463531,0,2,"6_adam_epsilon=0.44119,batch_size=851,dropout=0.63977,epochs=71,learning_rate=0.036376",0.03637624336707051,0.6397724415650685,851,0.44119226008044765,71
2cea65d0,0.01746756872162223,0.01744520706314729,0.011407183624791605,0.2554999887943268,0.010297025787059027,0.006975679359400277,0.05318210889172453,0.011420249938964844,True,,,2,6717f858d36c4fb5b8a0ca2a59eb0303,2021-01-12_04-05-02,1610424302,498.5804023742676,107349,thetagpu08,140.221.68.18,498.5804023742676,0,2,"7_adam_epsilon=0.45951,batch_size=516,dropout=0.75202,epochs=62,learning_rate=0.011646",0.011645780293345355,0.7520164746350391,516,0.45951136378329405,62
2cec7258,0.010486229432418066,0.01045708370676404,0.006946379908336438,0.35199999809265137,0.024957123782251657,0.014808461939216418,0.06994254614360633,0.011011838912963867,True,,,2,2ca14bc5052140cfa5a56d16421febb3,2021-01-12_04-07-31,1610424451,646.7531797885895,107314,thetagpu08,140.221.68.18,646.7531797885895,0,2,"8_adam_epsilon=0.93912,batch_size=621,dropout=0.46256,epochs=69,learning_rate=0.0093547",0.00935468826351228,0.4625557808915181,621,0.9391240478146375,69
2cee7e68,0.025636339479166527,0.025651438568178333,0.01643460106114365,0.19359999895095825,0.011646596467883604,0.008624994865366793,0.04693232823211619,0.009063243865966797,True,,,2,bf02b33423574a9b89868601391f4230,2021-01-12_04-18-10,1610425090,783.281849861145,107347,thetagpu08,140.221.68.18,783.281849861145,0,2,"9_adam_epsilon=0.98113,batch_size=443,dropout=0.84507,epochs=81,learning_rate=0.038316",0.03831647228611167,0.8450710780353663,443,0.9811306675304114,81
58b4f724,0.009979720537861189,0.009979720354360103,0.009219626693107608,0.2985000014305115,0.020924029676865536,0.013013806195485034,0.06026948414803182,0.011525869369506836,True,,,2,9f06559e52dd4a28bfad89629080e718,2021-01-12_04-17-58,1610425078,711.7049541473389,107208,thetagpu08,140.221.68.18,711.7049541473389,0,2,"10_adam_epsilon=0.75489,batch_size=846,dropout=0.53896,epochs=62,learning_rate=0.010682",0.010681858002817917,0.5389605939203579,846,0.7548941703982257,62
2e43c63a,0.06579672274264423,0.06565563622979892,0.03693077257670558,0.2842000126838684,0.02550872174077916,0.014105631210894365,0.08203291619744844,0.01110982894897461,True,,,2,eafce05d607d4f2686e3670dee89591b,2021-01-12_04-30-28,1610425828,732.7931079864502,107319,thetagpu08,140.221.68.18,732.7931079864502,0,2,"1_adam_epsilon=0.90453,batch_size=912,dropout=0.4749,epochs=79,learning_rate=0.074553",0.0745527911837848,0.4748994835768224,912,0.9045323376947552,79
2e49a104,0.23261146619915962,0.23278146337547226,0.125711242177971,0.28349998593330383,0.015401370834872455,0.009616117525389137,0.14993694100769472,0.05916619300842285,True,,,2,471383a5a475493d81a8bcfc81aa34a8,2021-01-12_04-28-38,1610425718,623.4991357326508,107181,thetagpu08,140.221.68.18,623.4991357326508,0,2,"2_adam_epsilon=0.54541,batch_size=417,dropout=0.16736,epochs=71,learning_rate=0.061524",0.061523860553408076,0.16736321618126568,417,0.545410188658469,71
2e4bad5a,0.16680000070482492,0.16683076923076925,0.09042307692307691,0.302700012922287,0.022576923076923085,0.012923076923076926,0.12704230996349303,0.010625123977661133,True,,,2,d704083713e6431a9c3fafdb00b96b1f,2021-01-12_04-27-27,1610425647,552.3144433498383,107300,thetagpu08,140.221.68.18,552.3144433498383,0,2,"3_adam_epsilon=0.89755,batch_size=625,dropout=0.26999,epochs=63,learning_rate=0.088261",0.08826054672241379,0.2699871594609698,625,0.8975492282353689,63
