trial_id,framework,test_acc1,tf_gaussian_accuracy1,tf_deepfool_accuracy1,test_acc2,tf_gaussian_accuracy2,tf_deepfool_accuracy2,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
bdbd77d2,tf,0.1882999986410141,0.009986225895316806,0.008503279017633108,0.20350000262260437,0.009986225895316796,0.0075510812951004236,0.00474926875301919,0.008656740188598633,True,,,2,fd22004127fa4f9c9e6b4bddbabe660b,2021-01-12_03-28-00,1610422080,180.63441371917725,15582,thetagpu07,140.221.68.17,180.63441371917725,0,2,"1_adam_epsilon=0.90453,batch_size=912,dropout=0.8124,epochs=79,learning_rate=0.074553",0.0745527911837848,0.8123994835768225,912,0.9045323376947552,79
bdcecfb4,tf,0.2305999994277954,0.021955841382940294,0.011200518614636215,0.2337000072002411,0.016909812379549055,0.009408440898212403,0.0012460329824564575,0.009205818176269531,True,,,2,6ebf2e88aae3482e9063e2f776badba8,2021-01-12_03-28-10,1610422090,189.90623140335083,15536,thetagpu07,140.221.68.17,189.90623140335083,0,2,"2_adam_epsilon=0.54541,batch_size=417,dropout=0.50486,epochs=71,learning_rate=0.061524",0.061523860553408076,0.5048632161812657,417,0.545410188658469,71
bdd0d958,tf,0.23899999260902405,0.013276923076923082,0.008353846153846156,0.24979999661445618,0.01383846153846155,0.008492307692307688,0.0038333346684773645,0.01762080192565918,True,,,2,66e59a33a15b4d198e8294d10cb8b82a,2021-01-12_03-27-24,1610422044,144.6322476863861,15486,thetagpu07,140.221.68.17,144.6322476863861,0,2,"3_adam_epsilon=0.89755,batch_size=625,dropout=0.60749,epochs=63,learning_rate=0.088261",0.08826054672241379,0.6074871594609699,625,0.8975492282353689,63
bdd29c2a,tf,0.22689999639987946,0.015605031518789225,0.009014859725647912,0.22139999270439148,0.011766057351272946,0.007787355591809864,0.003522160665614102,0.01112508773803711,True,,,2,eb8d9b8f1bd447358724ed99368bf3dd,2021-01-12_03-28-00,1610422080,180.0255045890808,15561,thetagpu07,140.221.68.17,180.0255045890808,0,2,"4_adam_epsilon=0.46272,batch_size=974,dropout=0.54464,epochs=93,learning_rate=0.078011",0.07801074420212564,0.5446358661603083,974,0.4627192431307109,93
bdd4a2cc,tf,0.1607999950647354,0.009837962962962962,0.007188875938875938,0.18979999423027039,0.010122053872053848,0.007051282051282041,0.009715498729010653,0.009423017501831055,True,,,2,aac99cc6aa4b43a9bd0a5faa4a0d5ef1,2021-01-12_03-28-03,1610422083,183.13256430625916,15463,thetagpu07,140.221.68.17,183.13256430625916,0,2,"5_adam_epsilon=0.7993,batch_size=704,dropout=0.78801,epochs=84,learning_rate=0.067101",0.06710050611955663,0.78801229798855,704,0.7992997083313532,84
bdd89030,tf,0.2272000014781952,0.013587955565910248,0.008217659932295581,0.23180000483989716,0.012223597189916863,0.007752323428992125,0.000923436160801705,0.010614156723022461,True,,,2,d57d3bbfc8fd48d8b9a4caf86c7c738f,2021-01-12_03-27-25,1610422045,145.7564606666565,15570,thetagpu07,140.221.68.17,145.7564606666565,0,2,"6_adam_epsilon=0.44119,batch_size=851,dropout=0.63977,epochs=71,learning_rate=0.073876",0.0738762396170705,0.6397724415650685,851,0.44119226008044765,71
bddaaba4,tf,0.2069000005722046,0.012051099509571289,0.007317792949022195,0.21549999713897705,0.010423740157959443,0.006651667822764157,0.0021021706963008646,0.011433839797973633,True,,,2,0e522a4abdf94dd8b6815622180e0a3c,2021-01-12_03-27-55,1610422075,175.1580934524536,15541,thetagpu07,140.221.68.17,175.1580934524536,0,2,"7_adam_epsilon=0.45951,batch_size=516,dropout=0.75202,epochs=62,learning_rate=0.049146",0.04914577654334535,0.7520164746350391,516,0.45951136378329405,62
bdddfcaa,tf,0.29820001125335693,0.026065689189090722,0.014163724761550851,0.305400013923645,0.016038506167981866,0.009707945329748398,0.0024276532608744072,0.011925220489501953,True,,,2,4c1e28d426e545af9fe91ac255e3a856,2021-01-12_03-27-29,1610422049,149.64747405052185,15510,thetagpu07,140.221.68.17,149.64747405052185,0,2,"8_adam_epsilon=0.93912,batch_size=621,dropout=0.46256,epochs=69,learning_rate=0.046855",0.046854684513512275,0.4625557808915181,621,0.9391240478146375,69
bddfde30,tf,0.17890000343322754,0.013795919745519558,0.007717613780350876,0.19949999451637268,0.010252681021605061,0.007594174523076555,0.005644437700652108,0.010611295700073242,True,,,2,ac6dce7faf1b44a78166d20f99f7abb2,2021-01-12_03-30-35,1610422235,186.39849019050598,15496,thetagpu07,140.221.68.17,186.39849019050598,0,2,"9_adam_epsilon=0.98113,batch_size=443,dropout=0.84507,epochs=81,learning_rate=0.075816",0.07581646853611168,0.8450710780353663,443,0.9811306675304114,81
16b1d950,tf,0.28439998626708984,0.010475684252433273,0.0071579908249845,0.2703999876976013,0.013670920693117011,0.008642672608887578,0.003106693448300571,0.010878562927246094,True,,,2,f9cbd473b65b454fbb95332ff51fd622,2021-01-12_03-29-20,1610422160,110.15883278846741,15530,thetagpu07,140.221.68.17,110.15883278846741,0,2,"10_adam_epsilon=0.75489,batch_size=846,dropout=0.53896,epochs=62,learning_rate=0.048182",0.048181854252817916,0.5389605939203579,846,0.7548941703982257,62
